filename,date.bin,dummy
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11753.jpg,64,70
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11814.jpg,64,71
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11803.jpg,66,72
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11804.jpg,66,73
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11806.jpg,66,74
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11802.jpg,66,75
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11801.jpg,68,76
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11800.jpg,68,77
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11797.jpg,68,78
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11799.jpg,68,79
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11796.jpg,69,80
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11794.jpg,69,81
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11795.jpg,70,82
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11755.jpg,70,83
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11818.jpg,70,84
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11792.jpg,70,85
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/23817.jpg,71,86
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/8565.jpg,71,87
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/12122.jpg,71,88
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/5387.jpg,71,89
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/12189.jpg,71,90
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/5429.jpg,71,91
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/25728.jpg,71,92
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/25718.jpg,71,93
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/16051.jpg,71,94
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/5736.jpg,71,95
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/12146.jpg,71,96
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/5646.jpg,71,97
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/24775.jpg,72,98
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11789.jpg,72,99
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11720.jpg,72,100
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/25874.jpg,72,101
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11790.jpg,72,102
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11776.jpg,73,103
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11785.jpg,74,104
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11786.jpg,74,105
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11784.jpg,75,106
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11783.jpg,75,107
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/24819.jpg,75,108
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11779.jpg,76,109
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11781.jpg,76,110
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11780.jpg,76,111
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11782.jpg,76,112
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11774.jpg,76,113
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11777.jpg,77,114
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/16195.jpg,77,115
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11778.jpg,77,116
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11772.jpg,77,117
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11773.jpg,78,118
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11771.jpg,78,119
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11770.jpg,79,120
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11769.jpg,79,121
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11743.jpg,79,122
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11768.jpg,80,123
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11767.jpg,81,124
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11766.jpg,81,125
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11763.jpg,82,126
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11765.jpg,82,127
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11762.jpg,82,128
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11760.jpg,83,129
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11754.jpg,85,130
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11757.jpg,85,131
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11755.jpg,85,132
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11818.jpg,85,133
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11792.jpg,85,134
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11758.jpg,85,135
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11751.jpg,86,136
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11750.jpg,86,137
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11746.jpg,88,138
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11748.jpg,88,139
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11747.jpg,89,140
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/25161.jpg,89,141
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11745.jpg,89,142
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11744.jpg,89,143
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/7981.jpg,89,144
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11739.jpg,90,145
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11738.jpg,90,146
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11740.jpg,91,147
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/7927.jpg,91,148
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11734.jpg,92,149
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11723.jpg,93,150
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11736.jpg,93,151
/Users/myazdaniUCSD/Documents/IPAM/fb-group-posts/imgs/11714.jpg,94,152
